palabra,pagina,palabra_busqueda,cantidad,fechaini,fechafin
mensaje,http://cancionymp3.com/mp3/Tono-Mauricio-Macri-La-Puta-Que-Te-Pario.html,macri la puta que te pario,1,20180417,20180417
modal,http://cancionymp3.com/mp3/Tono-Mauricio-Macri-La-Puta-Que-Te-Pario.html,macri la puta que te pario,1,20180417,20180417
modal,http://cancionymp3.com/mp3/Tono-Mauricio-Macri-La-Puta-Que-Te-Pario.html,macri la puta que te pario,1,20180417,20180417
body,http://cancionymp3.com/mp3/Tono-Mauricio-Macri-La-Puta-Que-Te-Pario.html,macri la puta que te pario,1,20180417,20180417
cerrar,http://cancionymp3.com/mp3/Tono-Mauricio-Macri-La-Puta-Que-Te-Pario.html,macri la puta que te pario,1,20180417,20180417
inicio,http://cancionymp3.com/mp3/Tono-Mauricio-Macri-La-Puta-Que-Te-Pario.html,macri la puta que te pario,1,20180417,20180417
mpflow,http://cancionymp3.com/mp3/Tono-Mauricio-Macri-La-Puta-Que-Te-Pario.html,macri la puta que te pario,1,20180417,20180417
mpflow,http://cancionymp3.com/mp3/Tono-Mauricio-Macri-La-Puta-Que-Te-Pario.html,macri la puta que te pario,1,20180417,20180417
descargar,http://cancionymp3.com/mp3/Tono-Mauricio-Macri-La-Puta-Que-Te-Pario.html,macri la puta que te pario,1,20180417,20180417
tono,http://cancionymp3.com/mp3/Tono-Mauricio-Macri-La-Puta-Que-Te-Pario.html,macri la puta que te pario,1,20180417,20180417
mauricio,http://cancionymp3.com/mp3/Tono-Mauricio-Macri-La-Puta-Que-Te-Pario.html,macri la puta que te pario,1,20180417,20180417
macri,http://cancionymp3.com/mp3/Tono-Mauricio-Macri-La-Puta-Que-Te-Pario.html,macri la puta que te pario,1,20180417,20180417
puta,http://cancionymp3.com/mp3/Tono-Mauricio-Macri-La-Puta-Que-Te-Pario.html,macri la puta que te pario,1,20180417,20180417
pario,http://cancionymp3.com/mp3/Tono-Mauricio-Macri-La-Puta-Que-Te-Pario.html,macri la puta que te pario,1,20180417,20180417
descargar,http://cancionymp3.com/mp3/Tono-Mauricio-Macri-La-Puta-Que-Te-Pario.html,macri la puta que te pario,1,20180417,20180417
musica,http://cancionymp3.com/mp3/Tono-Mauricio-Macri-La-Puta-Que-Te-Pario.html,macri la puta que te pario,1,20180417,20180417
tono,http://cancionymp3.com/mp3/Tono-Mauricio-Macri-La-Puta-Que-Te-Pario.html,macri la puta que te pario,1,20180417,20180417
mauricio,http://cancionymp3.com/mp3/Tono-Mauricio-Macri-La-Puta-Que-Te-Pario.html,macri la puta que te pario,1,20180417,20180417
macri,http://cancionymp3.com/mp3/Tono-Mauricio-Macri-La-Puta-Que-Te-Pario.html,macri la puta que te pario,1,20180417,20180417
puta,http://cancionymp3.com/mp3/Tono-Mauricio-Macri-La-Puta-Que-Te-Pario.html,macri la puta que te pario,1,20180417,20180417
